192.168.2.107, 2022-06-15 16:04:48, GET, /, HTTP/1.1, 303, 1.880872
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.308187
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001563
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002069
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001998
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000996
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001993
 0.000996
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001214
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:04:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
192.168.2.107, 2022-06-15 16:04:50, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/default/index, HTTP/1.1, 200, 0.158576
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/js/jquery.js, HTTP/1.1, 200, 0.000996
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/css/calendar.css, HTTP/1.1, 200, 0.000996
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/js/web2py.js, HTTP/1.1, 200, 0.001994
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002002
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001994
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:06:33, GET, /admin/static/_2.22.5/images/questions.png, HTTP/1.1, 200, 0.000997
192.168.2.107, 2022-06-15 16:06:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:06:38, POST, /admin/default/index, HTTP/1.1, 303, 0.013638
192.168.2.107, 2022-06-15 16:06:38, GET, /admin/default/site, HTTP/1.1, 200, 0.034940
192.168.2.107, 2022-06-15 16:06:38, GET, /admin/static/_2.22.5/images/folder.png, HTTP/1.1, 200, 0.000997
00997
192.168.2.107, 2022-06-15 16:06:38, GET, /admin/static/_2.22.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000998
192.168.2.107, 2022-06-15 16:06:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
